word,pos,previous-pos,two-previous-pos,next-pos,two-next-pos,positive-word,negative-word,strong-sub,weak-sub,around-positive,around-negative,abstract-or-concrete
in,IN,,,NN,NN,0,0,0,1,0,0,1
computer,NN,IN,,NN,JJ,0,0,0,1,0,0,0
science,NN,NN,IN,JJ,NN,0,0,0,1,0,1,1
artificial,JJ,NN,NN,NN,NN,0,1,1,0,0,0,1
intelligence,NN,JJ,NN,NN,RB,0,0,0,1,0,1,1
ai,NN,NN,JJ,RB,VBD,0,0,0,1,0,0,0
sometimes,RB,NN,NN,VBD,NN,0,0,0,1,0,0,0
called,VBD,RB,NN,NN,NN,0,0,0,1,0,0,0
machine,NN,VBD,RB,NN,VBZ,0,0,0,1,0,0,0
intelligence,NN,NN,VBD,VBZ,RB,0,0,0,1,0,0,1
is,VBZ,NN,NN,RB,VBN,0,0,0,1,0,0,1
intelligence,RB,VBZ,NN,VBN,IN,0,0,0,1,0,0,1
demonstrated,VBN,RB,VBZ,IN,NNS,0,0,0,1,0,0,0
by,IN,VBN,RB,NNS,IN,0,0,0,1,0,0,1
machines,NNS,IN,VBN,IN,NN,0,0,0,1,0,0,0
in,IN,NNS,IN,NN,TO,0,0,0,1,0,0,1
contrast,NN,IN,NNS,TO,DT,0,0,0,1,0,0,0
to,TO,NN,IN,DT,JJ,0,0,0,1,0,0,1
the,DT,TO,NN,JJ,NN,0,0,0,1,1,0,1
natural,JJ,DT,TO,NN,VBN,1,0,0,1,0,0,0
intelligence,NN,JJ,DT,VBN,IN,0,0,0,1,1,0,1
displayed,VBN,NN,JJ,IN,NNS,0,0,0,1,0,0,0
by,IN,VBN,NN,NNS,CC,0,0,0,1,0,0,1
humans,NNS,IN,VBN,CC,NNS,0,0,0,1,0,0,0
and,CC,NNS,IN,NNS,VBG,0,0,0,1,0,0,1
animals,NNS,CC,NNS,VBG,JJ,0,0,0,1,0,0,0
leading,VBG,NNS,CC,JJ,NNS,0,0,0,1,0,0,0
ai,JJ,VBG,NNS,NNS,VBP,0,0,0,1,0,0,0
textbooks,NNS,JJ,VBG,VBP,DT,0,0,0,1,0,0,0
define,VBP,NNS,JJ,DT,NN,0,0,0,1,0,0,0
the,DT,VBP,NNS,NN,IN,0,0,0,1,0,0,1
field,NN,DT,VBP,IN,DT,0,0,0,1,0,0,0
as,IN,NN,DT,DT,NN,0,0,0,1,0,0,1
the,DT,IN,NN,NN,IN,0,0,0,1,0,0,1
study,NN,DT,IN,IN,JJ,0,0,0,1,0,0,0
of,IN,NN,DT,JJ,NNS,0,0,0,1,1,0,1
intelligent,JJ,IN,NN,NNS,DT,1,0,1,0,0,0,0
agents,NNS,JJ,IN,DT,NN,0,0,0,1,1,0,0
any,DT,NNS,JJ,NN,WDT,0,0,0,1,0,0,1
device,NN,DT,NNS,WDT,VBZ,0,0,0,1,0,0,0
that,WDT,NN,DT,VBZ,PRP$,0,0,0,1,0,0,1
perceives,VBZ,WDT,NN,PRP$,NN,0,0,0,1,0,0,0
its,PRP$,VBZ,WDT,NN,CC,0,0,0,1,0,0,1
environment,NN,PRP$,VBZ,CC,VBZ,0,0,0,1,0,0,0
and,CC,NN,PRP$,VBZ,NNS,0,0,0,1,0,0,1
takes,VBZ,CC,NN,NNS,IN,0,0,0,1,0,0,0
actions,NNS,VBZ,CC,IN,VB,0,0,0,1,0,0,0
that,IN,NNS,VBZ,VB,PRP$,0,0,0,1,0,0,1
maximize,VB,IN,NNS,PRP$,NN,0,0,0,1,0,0,0
its,PRP$,VB,IN,NN,IN,0,0,0,1,0,0,1
chance,NN,PRP$,VB,IN,RB,0,0,0,1,0,0,1
of,IN,NN,PRP$,RB,VBG,0,0,0,1,1,0,1
successfully,RB,IN,NN,VBG,PRP$,1,0,1,0,0,0,0
achieving,VBG,RB,IN,PRP$,NNS,0,0,0,1,1,0,0
its,PRP$,VBG,RB,NNS,RB,0,0,0,1,0,0,1
goals,NNS,PRP$,VBG,RB,DT,0,0,0,1,0,0,0
colloquially,RB,NNS,PRP$,DT,NN,0,0,0,1,0,0,0
the,DT,RB,NNS,NN,JJ,0,0,0,1,0,0,1
term,NN,DT,RB,JJ,NN,0,0,0,1,0,1,1
artificial,JJ,NN,DT,NN,VBZ,0,1,1,0,0,0,1
intelligence,NN,JJ,NN,VBZ,RB,0,0,0,1,0,1,1
is,VBZ,NN,JJ,RB,VBN,0,0,0,1,0,0,1
often,RB,VBZ,NN,VBN,TO,0,0,0,1,0,0,0
used,VBN,RB,VBZ,TO,VB,0,0,0,1,0,0,1
to,TO,VBN,RB,VB,NNS,0,0,0,1,0,0,1
describe,VB,TO,VBN,NNS,CC,0,0,0,1,0,0,0
machines,NNS,VB,TO,CC,NNS,0,0,0,1,0,0,0
or,CC,NNS,VB,NNS,WDT,0,0,0,1,0,0,1
computers,NNS,CC,NNS,WDT,VBP,0,0,0,1,0,0,0
that,WDT,NNS,CC,VBP,JJ,0,0,0,1,0,0,1
mimic,VBP,WDT,NNS,JJ,NNS,0,0,0,1,0,0,1
cognitive,JJ,VBP,WDT,NNS,WDT,0,0,0,1,0,0,0
functions,NNS,JJ,VBP,WDT,NNS,0,0,0,1,0,0,0
that,WDT,NNS,JJ,NNS,VBP,0,0,0,1,0,0,1
humans,NNS,WDT,NNS,VBP,IN,0,0,0,1,0,0,0
associate,VBP,NNS,WDT,IN,DT,0,0,0,1,0,0,0
with,IN,VBP,NNS,DT,JJ,0,0,0,1,0,0,1
the,DT,IN,VBP,JJ,NN,0,0,0,1,0,0,1
human,JJ,DT,IN,NN,JJ,0,0,0,1,0,0,0
mind,NN,JJ,DT,JJ,IN,0,0,0,1,0,0,1
such,JJ,NN,JJ,IN,NN,0,0,0,0,0,0,1
as,IN,JJ,NN,NN,CC,0,0,0,1,0,0,1
learning,NN,IN,JJ,CC,NN,0,0,0,1,0,0,1
and,CC,NN,IN,NN,NN,0,0,0,1,0,0,1
problem,NN,CC,NN,NN,IN,0,0,0,1,0,0,1
solving,NN,NN,CC,IN,NNS,0,0,0,1,0,0,0
as,IN,NN,NN,NNS,VBP,0,0,0,1,0,0,1
machines,NNS,IN,NN,VBP,RB,0,0,0,1,0,0,0
become,VBP,NNS,IN,RB,JJ,0,0,0,1,0,0,0
increasingly,RB,VBP,NNS,JJ,NNS,0,0,0,1,1,0,0
capable,JJ,RB,VBP,NNS,VBN,1,0,0,1,0,0,0
tasks,NNS,JJ,RB,VBN,TO,0,0,0,1,1,0,0
considered,VBN,NNS,JJ,TO,VB,0,0,0,1,0,0,0
to,TO,VBN,NNS,VB,NN,0,0,0,1,0,0,1
require,VB,TO,VBN,NN,VBP,0,0,0,1,0,0,0
intelligence,NN,VB,TO,VBP,RB,0,0,0,1,0,0,1
are,VBP,NN,VB,RB,VBN,0,0,0,1,0,0,1
often,RB,VBP,NN,VBN,IN,0,0,0,1,0,0,0
removed,VBN,RB,VBP,IN,DT,0,0,0,1,0,0,0
from,IN,VBN,RB,DT,NN,0,0,0,1,0,0,1
the,DT,IN,VBN,NN,IN,0,0,0,1,0,0,1
definition,NN,DT,IN,IN,NN,0,0,0,1,0,0,1
of,IN,NN,DT,NN,DT,0,0,0,1,0,0,1
ai,NN,IN,NN,DT,NN,0,0,0,1,0,0,0
a,DT,NN,IN,NN,VBN,0,0,0,1,0,0,1
phenomenon,NN,DT,NN,VBN,IN,0,0,0,1,0,0,0
known,VBN,NN,DT,IN,DT,0,0,0,1,0,0,1
as,IN,VBN,NN,DT,NN,0,0,0,1,0,0,1
the,DT,IN,VBN,NN,NN,0,0,0,1,0,0,1
ai,NN,DT,IN,NN,DT,0,0,0,1,0,0,0
effect,NN,NN,DT,DT,NN,0,0,0,1,0,0,1
a,DT,NN,NN,NN,IN,0,0,0,1,0,0,1
quip,NN,DT,NN,IN,NN,0,0,0,1,0,0,0
in,IN,NN,DT,NN,NN,0,0,0,1,0,0,1
tesler,NN,IN,NN,NN,NN,0,0,0,1,0,0,0
s,NN,NN,IN,NN,VBZ,0,0,0,1,0,0,0
theorem,NN,NN,NN,VBZ,NN,0,0,0,1,0,0,0
says,VBZ,NN,NN,NN,VBZ,0,0,0,1,0,0,0
ai,NN,VBZ,NN,VBZ,WDT,0,0,0,1,0,0,0
is,VBZ,NN,VBZ,WDT,JJ,0,0,0,1,0,0,1
whatever,WDT,VBZ,NN,JJ,NN,0,0,0,1,0,0,0
hasn,JJ,WDT,VBZ,NN,VBN,0,0,0,1,0,0,0
t,NN,JJ,WDT,VBN,VBN,0,0,0,1,0,0,0
been,VBN,NN,JJ,VBN,RB,0,0,0,1,0,0,1
done,VBN,VBN,NN,RB,IN,0,0,0,1,0,0,1
yet,RB,VBN,VBN,IN,NN,0,0,0,1,0,0,1
for,IN,RB,VBN,NN,JJ,0,0,0,1,0,0,1
instance,NN,IN,RB,JJ,NN,0,0,0,1,0,0,1
optical,JJ,NN,IN,NN,NN,0,0,0,1,0,0,0
character,NN,JJ,NN,NN,VBZ,0,0,0,1,0,0,1
recognition,NN,NN,JJ,VBZ,RB,0,0,0,1,0,0,1
is,VBZ,NN,NN,RB,VBN,0,0,0,1,1,0,1
frequently,RB,VBZ,NN,VBN,IN,1,0,0,1,0,0,0
excluded,VBN,RB,VBZ,IN,NNS,0,0,0,1,1,0,0
from,IN,VBN,RB,NNS,VBN,0,0,0,1,0,0,1
things,NNS,IN,VBN,VBN,TO,0,0,0,1,0,0,0
considered,VBN,NNS,IN,TO,VB,0,0,0,1,0,0,0
to,TO,VBN,NNS,VB,JJ,0,0,0,1,0,0,1
be,VB,TO,VBN,JJ,VBG,0,0,0,1,0,0,1
ai,JJ,VB,TO,VBG,VBN,0,0,0,1,0,0,0
having,VBG,JJ,VB,VBN,DT,0,0,0,1,0,0,0
become,VBN,VBG,JJ,DT,JJ,0,0,0,1,0,0,0
a,DT,VBN,VBG,JJ,NN,0,0,0,1,0,0,1
routine,JJ,DT,VBN,NN,JJ,0,0,0,1,0,0,0
technology,NN,JJ,DT,JJ,NN,0,0,0,1,1,0,0
modern,JJ,NN,JJ,NN,NNS,1,0,0,1,0,0,0
machine,NN,JJ,NN,NNS,RB,0,0,0,1,1,0,0
capabilities,NNS,NN,JJ,RB,VBN,0,0,0,1,1,0,0
generally,RB,NNS,NN,VBN,IN,1,0,0,0,0,0,0
classified,VBN,RB,NNS,IN,JJ,0,0,0,1,1,0,0
as,IN,VBN,RB,JJ,VBP,0,0,0,1,0,0,1
ai,JJ,IN,VBN,VBP,RB,0,0,0,1,0,0,0
include,VBP,JJ,IN,RB,JJ,0,0,0,1,1,0,0
successfully,RB,VBP,JJ,JJ,JJ,1,0,1,0,0,0,0
understanding,JJ,RB,VBP,JJ,NN,0,0,0,1,1,0,1
human,JJ,JJ,RB,NN,VBG,0,0,0,1,0,0,0
speech,NN,JJ,JJ,VBG,IN,0,0,0,1,0,0,0
competing,VBG,NN,JJ,IN,DT,0,0,0,1,0,0,0
at,IN,VBG,NN,DT,JJS,0,0,0,1,0,0,1
the,DT,IN,VBG,JJS,NN,0,0,0,1,0,0,1
highest,JJS,DT,IN,NN,IN,0,0,0,1,0,0,0
level,NN,JJS,DT,IN,JJ,0,0,0,1,0,0,0
in,IN,NN,JJS,JJ,NN,0,0,0,1,0,0,1
strategic,JJ,IN,NN,NN,NNS,0,0,0,1,0,1,0
game,NN,JJ,IN,NNS,JJ,0,1,0,1,0,0,0
systems,NNS,NN,JJ,JJ,IN,0,0,0,1,0,1,0
such,JJ,NNS,NN,IN,NN,0,0,0,0,0,0,1
as,IN,JJ,NNS,NN,CC,0,0,0,1,0,0,1
chess,NN,IN,JJ,CC,VB,0,0,0,1,0,0,0
and,CC,NN,IN,VB,RB,0,0,0,1,0,0,1
go,VB,CC,NN,RB,VBG,0,0,0,1,1,0,1
autonomously,RB,VB,CC,VBG,NNS,1,0,1,0,0,0,0
operating,VBG,RB,VB,NNS,JJ,0,0,0,1,1,0,0
cars,NNS,VBG,RB,JJ,VBG,0,0,0,1,1,0,0
intelligent,JJ,NNS,VBG,VBG,IN,1,0,1,0,0,0,0
routing,VBG,JJ,NNS,IN,JJ,0,0,0,1,1,0,0
in,IN,VBG,JJ,JJ,NN,0,0,0,1,0,0,1
content,JJ,IN,VBG,NN,NNS,0,0,0,1,0,0,1
delivery,NN,JJ,IN,NNS,CC,0,0,0,1,0,0,0
networks,NNS,NN,JJ,CC,JJ,0,0,0,1,0,0,0
and,CC,NNS,NN,JJ,NNS,0,0,0,1,0,1,1
military,JJ,CC,NNS,NNS,JJ,0,1,0,1,0,0,0
simulations,NNS,JJ,CC,JJ,NN,0,0,0,1,0,1,0
artificial,JJ,NNS,JJ,NN,VBD,0,1,1,0,0,0,1
intelligence,NN,JJ,NNS,VBD,VBN,0,0,0,1,0,1,1
was,VBD,NN,JJ,VBN,IN,0,0,0,1,0,0,1
founded,VBN,VBD,NN,IN,DT,0,0,0,1,0,0,0
as,IN,VBN,VBD,DT,JJ,0,0,0,1,0,0,1
an,DT,IN,VBN,JJ,NN,0,0,0,1,0,0,1
academic,JJ,DT,IN,NN,IN,0,0,0,1,0,0,0
discipline,NN,JJ,DT,IN,CC,0,0,0,1,0,0,1
in,IN,NN,JJ,CC,IN,0,0,0,1,0,0,1
and,CC,IN,NN,IN,DT,0,0,0,1,0,0,1
in,IN,CC,IN,DT,NNS,0,0,0,1,0,0,1
the,DT,IN,CC,NNS,IN,0,0,0,1,0,0,1
years,NNS,DT,IN,IN,VBZ,0,0,0,1,0,0,0
since,IN,NNS,DT,VBZ,VBN,0,0,0,1,0,0,1
has,VBZ,IN,NNS,VBN,JJ,0,0,0,1,1,0,1
experienced,VBN,VBZ,IN,JJ,NNS,1,0,1,0,0,0,0
several,JJ,VBN,VBZ,NNS,IN,0,0,0,1,1,0,0
waves,NNS,JJ,VBN,IN,NN,0,0,0,1,0,0,0
of,IN,NNS,JJ,NN,VBN,0,0,0,1,0,0,1
optimism,NN,IN,NNS,VBN,IN,0,0,0,1,0,0,1
followed,VBN,NN,IN,IN,NN,0,0,0,1,0,0,0
by,IN,VBN,NN,NN,CC,0,0,0,1,0,1,1
disappointment,NN,IN,VBN,CC,DT,0,1,0,1,0,0,0
and,CC,NN,IN,DT,NN,0,0,0,1,0,1,1
the,DT,CC,NN,NN,IN,0,0,0,1,0,0,1
loss,NN,DT,CC,IN,VBG,0,0,0,1,0,0,1
of,IN,NN,DT,VBG,VBN,0,0,0,1,0,0,1
funding,VBG,IN,NN,VBN,IN,0,0,0,1,0,0,0
known,VBN,VBG,IN,IN,DT,0,0,0,1,0,0,1
as,IN,VBN,VBG,DT,NN,0,0,0,1,0,0,1
an,DT,IN,VBN,NN,NN,0,0,0,1,0,0,1
ai,NN,DT,IN,NN,VBN,0,0,0,1,0,0,0
winter,NN,NN,DT,VBN,IN,0,0,0,1,0,0,0
followed,VBN,NN,NN,IN,JJ,0,0,0,1,0,0,0
by,IN,VBN,NN,JJ,NNS,0,0,0,1,1,0,1
new,JJ,IN,VBN,NNS,NN,1,0,0,1,0,0,1
approaches,NNS,JJ,IN,NN,CC,0,0,0,1,1,0,0
success,NN,NNS,JJ,CC,VBN,1,0,0,1,0,0,1
and,CC,NN,NNS,VBN,NN,0,0,0,1,1,0,1
renewed,VBN,CC,NN,NN,IN,0,0,0,1,0,0,0
funding,NN,VBN,CC,IN,JJS,0,0,0,1,0,0,0
for,IN,NN,VBN,JJS,IN,0,0,0,1,1,0,1
most,JJS,IN,NN,IN,PRP$,1,0,0,0,0,0,1
of,IN,JJS,IN,PRP$,NN,0,0,0,1,1,0,1
its,PRP$,IN,JJS,NN,NN,0,0,0,1,0,0,1
history,NN,PRP$,IN,NN,NN,0,0,0,1,0,0,1
ai,NN,NN,PRP$,NN,VBZ,0,0,0,1,0,0,0
research,NN,NN,NN,VBZ,VBN,0,0,0,1,0,0,1
has,VBZ,NN,NN,VBN,VBN,0,0,0,1,0,0,1
been,VBN,VBZ,NN,VBN,IN,0,0,0,1,0,0,1
divided,VBN,VBN,VBZ,IN,JJ,0,0,0,1,0,0,0
into,IN,VBN,VBN,JJ,NNS,0,0,0,1,0,0,1
sub,JJ,IN,VBN,NNS,WDT,0,0,0,1,0,0,0
fields,NNS,JJ,IN,WDT,RB,0,0,0,1,0,0,0
that,WDT,NNS,JJ,RB,VBP,0,0,0,1,0,0,1
often,RB,WDT,NNS,VBP,TO,0,0,0,1,0,1,0
fail,VBP,RB,WDT,TO,VB,0,1,0,1,0,0,1
to,TO,VBP,RB,VB,IN,0,0,0,1,0,1,1
communicate,VB,TO,VBP,IN,DT,0,0,0,1,0,0,0
with,IN,VB,TO,DT,JJ,0,0,0,1,0,0,1
each,DT,IN,VB,JJ,DT,0,0,0,1,0,1,1
other,JJ,DT,IN,DT,JJ,0,1,0,1,0,0,1
these,DT,JJ,DT,JJ,NNS,0,0,0,1,0,1,1
sub,JJ,DT,JJ,NNS,VBP,0,0,0,1,0,0,0
fields,NNS,JJ,DT,VBP,VBN,0,0,0,1,0,0,0
are,VBP,NNS,JJ,VBN,IN,0,0,0,1,0,0,1
based,VBN,VBP,NNS,IN,JJ,0,0,0,1,0,0,0
on,IN,VBN,VBP,JJ,NNS,0,0,0,1,0,0,1
technical,JJ,IN,VBN,NNS,JJ,0,0,0,1,0,0,0
considerations,NNS,JJ,IN,JJ,IN,0,0,0,1,0,0,0
such,JJ,NNS,JJ,IN,JJ,0,0,0,0,0,0,1
as,IN,JJ,NNS,JJ,NNS,0,0,0,1,1,0,1
particular,JJ,IN,JJ,NNS,VBP,1,0,0,1,0,0,0
goals,NNS,JJ,IN,VBP,JJ,0,0,0,1,1,0,0
